WEAT,Performance Gap,Metric,Test,Embedding,Name,Method
1.8220701,7.917358696,Precision,6,fastText,baseline_ft,Postprocess
-1.992194666,12.29076553,Precision,6,fastText,,Postprocess
1.992651279,6.328939381,Precision,6,fastText,,Postprocess
1.8220693,8.151944835,Precision,6,fastText,,Postprocess
1.822069162,14.45370247,Precision,6,fastText,,Postprocess
1.8220693,5.173162001,Precision,6,fastText,,Postprocess
1.822069162,9.337099157,Precision,6,fastText,,Postprocess
1.851493765,11.78405172,Precision,6,word2vec,baseline_w2v,Postprocess
-1.992607799,8.139373309,Precision,6,word2vec,,Postprocess
1.990897627,14.44707284,Precision,6,word2vec,,Postprocess
1.851494614,11.87300418,Precision,6,word2vec,,Postprocess
1.851494614,14.9151549,Precision,6,word2vec,,Postprocess
1.851494614,12.37330787,Precision,6,word2vec,,Postprocess
1.851494614,16.04668683,Precision,6,word2vec,,Postprocess
1.0201086,7.917358696,Precision,7,fastText,baseline_ft,Postprocess
1.020104915,12.29076553,Precision,7,fastText,,Postprocess
1.020104915,6.328939381,Precision,7,fastText,,Postprocess
-1.981522,8.151944835,Precision,7,fastText,,Postprocess
1.982185237,14.45370247,Precision,7,fastText,,Postprocess
-1.8920872,5.173162001,Precision,7,fastText,,Postprocess
1.884345471,9.337099157,Precision,7,fastText,,Postprocess
1.039756262,11.78405172,Precision,7,word2vec,baseline_w2v,Postprocess
1.039753031,8.139373309,Precision,7,word2vec,,Postprocess
1.039753031,14.44707284,Precision,7,word2vec,,Postprocess
-1.987831415,11.87300418,Precision,7,word2vec,,Postprocess
1.980116774,14.9151549,Precision,7,word2vec,,Postprocess
-1.899213753,12.37330787,Precision,7,word2vec,,Postprocess
1.865472019,16.04668683,Precision,7,word2vec,,Postprocess
1.2292373,7.917358696,Precision,8,fastText,baseline_ft,Postprocess
1.229240059,12.29076553,Precision,8,fastText,,Postprocess
1.229240059,6.328939381,Precision,8,fastText,,Postprocess
-1.8498056,8.151944835,Precision,8,fastText,,Postprocess
1.899009012,14.45370247,Precision,8,fastText,,Postprocess
-1.9782284,5.173162001,Precision,8,fastText,,Postprocess
1.987095577,9.337099157,Precision,8,fastText,,Postprocess
1.058746216,11.78405172,Precision,8,word2vec,baseline_w2v,Postprocess
1.229240059,8.139373309,Precision,8,word2vec,,Postprocess
1.229240059,14.44707284,Precision,8,word2vec,,Postprocess
-1.8498056,11.87300418,Precision,8,word2vec,,Postprocess
1.899009012,14.9151549,Precision,8,word2vec,,Postprocess
-1.9782284,12.37330787,Precision,8,word2vec,,Postprocess
1.987095577,16.04668683,Precision,8,word2vec,,Postprocess
1.8220701,6.487250498,Recall,6,fastText,baseline_ft,Postprocess
-1.992194666,11.08310213,Recall,6,fastText,,Postprocess
1.992651279,6.168835978,Recall,6,fastText,,Postprocess
1.8220693,6.494734188,Recall,6,fastText,,Postprocess
1.822069162,12.67081493,Recall,6,fastText,,Postprocess
1.8220693,5.067293298,Recall,6,fastText,,Postprocess
1.822069162,8.608219131,Recall,6,fastText,,Postprocess
1.851493765,9.108145648,Recall,6,word2vec,baseline_w2v,Postprocess
-1.992607799,7.59410378,Recall,6,word2vec,,Postprocess
1.990897627,12.42984595,Recall,6,word2vec,,Postprocess
1.851494614,10.34168197,Recall,6,word2vec,,Postprocess
1.851494614,13.27835166,Recall,6,word2vec,,Postprocess
1.851494614,10.96923923,Recall,6,word2vec,,Postprocess
1.851494614,14.17002433,Recall,6,word2vec,,Postprocess
1.0201086,6.487250498,Recall,7,fastText,baseline_ft,Postprocess
1.020104915,11.08310213,Recall,7,fastText,,Postprocess
1.020104915,6.168835978,Recall,7,fastText,,Postprocess
-1.981522,6.494734188,Recall,7,fastText,,Postprocess
1.982185237,12.67081493,Recall,7,fastText,,Postprocess
-1.8920872,5.067293298,Recall,7,fastText,,Postprocess
1.884345471,8.608219131,Recall,7,fastText,,Postprocess
1.039756262,9.108145648,Recall,7,word2vec,baseline_w2v,Postprocess
1.039753031,7.59410378,Recall,7,word2vec,,Postprocess
1.039753031,12.42984595,Recall,7,word2vec,,Postprocess
-1.987831415,10.34168197,Recall,7,word2vec,,Postprocess
1.980116774,13.27835166,Recall,7,word2vec,,Postprocess
-1.899213753,10.96923923,Recall,7,word2vec,,Postprocess
1.865472019,14.17002433,Recall,7,word2vec,,Postprocess
1.2292373,6.487250498,Recall,8,fastText,baseline_ft,Postprocess
1.229240059,11.08310213,Recall,8,fastText,,Postprocess
1.229240059,6.168835978,Recall,8,fastText,,Postprocess
-1.8498056,6.494734188,Recall,8,fastText,,Postprocess
1.899009012,12.67081493,Recall,8,fastText,,Postprocess
-1.9782284,5.067293298,Recall,8,fastText,,Postprocess
1.987095577,8.608219131,Recall,8,fastText,,Postprocess
1.058746216,9.108145648,Recall,8,word2vec,baseline_w2v,Postprocess
1.229240059,7.59410378,Recall,8,word2vec,,Postprocess
1.229240059,12.42984595,Recall,8,word2vec,,Postprocess
-1.8498056,10.34168197,Recall,8,word2vec,,Postprocess
1.899009012,13.27835166,Recall,8,word2vec,,Postprocess
-1.9782284,10.96923923,Recall,8,word2vec,,Postprocess
1.987095577,14.17002433,Recall,8,word2vec,,Postprocess